epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3171.41,1.04088,0.66968,1.02419,0.78588,0.7407,0.80867,0.53954,1.36074,0.91361,1.27462,0.00021471,0.00021471,0.00021471
90,3207.12,1.02872,0.66517,1.02038,0.79106,0.73965,0.81401,0.54276,1.35513,0.91324,1.2719,0.000198206,0.000198206,0.000198206
91,3263.61,0.99421,0.58701,1.02412,0.80709,0.73409,0.80505,0.53045,1.36602,0.91532,1.2809,0.000181703,0.000181703,0.000181703
92,3298.46,0.95126,0.57267,1.00759,0.78448,0.74838,0.80478,0.53404,1.35983,0.91945,1.27484,0.0001652,0.0001652,0.0001652
93,3333.3,0.94125,0.5611,1.00391,0.81423,0.73101,0.80877,0.54258,1.36073,0.92693,1.27293,0.000148696,0.000148696,0.000148696
94,3368.02,0.94302,0.5613,1.00666,0.77927,0.7586,0.8077,0.53247,1.36992,0.92185,1.28038,0.000132193,0.000132193,0.000132193
95,3402.93,0.93041,0.55284,1.00426,0.78756,0.74803,0.8087,0.5371,1.3458,0.91327,1.26816,0.00011569,0.00011569,0.00011569
96,3437.61,0.92378,0.54654,0.99516,0.80015,0.73912,0.80721,0.53784,1.3543,0.92522,1.27213,9.91865e-05,9.91865e-05,9.91865e-05
97,3472.37,0.90839,0.54173,0.98401,0.81575,0.73163,0.81159,0.54289,1.35031,0.91234,1.27544,8.26832e-05,8.26832e-05,8.26832e-05
98,3507.16,0.90925,0.54288,0.98735,0.83291,0.72352,0.81129,0.54368,1.34777,0.90681,1.27487,6.61799e-05,6.61799e-05,6.61799e-05
99,3542.05,0.89821,0.53197,0.98007,0.7851,0.74974,0.80835,0.54536,1.34692,0.91734,1.27662,4.96766e-05,4.96766e-05,4.96766e-05
100,3576.86,0.88624,0.52408,0.98629,0.8251,0.72271,0.81053,0.54211,1.34555,0.90992,1.27201,3.31733e-05,3.31733e-05,3.31733e-05
