epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,44999.4,0.83289,0.46914,0.97953,0.8549,0.76013,0.82067,0.5427,1.18872,0.71063,1.20639,0.00208,0.00208,0.00208
122,45369.1,0.82385,0.46581,0.97647,0.85442,0.76102,0.82022,0.54298,1.18888,0.71088,1.2068,0.002014,0.002014,0.002014
123,45738.7,0.81751,0.46217,0.97271,0.85437,0.76008,0.81986,0.54266,1.18886,0.71152,1.20696,0.001948,0.001948,0.001948
124,46108.9,0.81636,0.46242,0.97203,0.85236,0.76071,0.81898,0.5427,1.18935,0.71179,1.20766,0.001882,0.001882,0.001882
125,46478.4,0.81009,0.45535,0.97106,0.85478,0.75854,0.81927,0.5428,1.18973,0.71288,1.20811,0.001816,0.001816,0.001816
126,46849.1,0.80653,0.4563,0.96969,0.852,0.76118,0.81936,0.54317,1.18983,0.71314,1.20862,0.00175,0.00175,0.00175
127,47219.8,0.80961,0.45602,0.96608,0.85598,0.75783,0.81921,0.54322,1.19023,0.71398,1.20873,0.001684,0.001684,0.001684
128,47590.4,0.79491,0.44242,0.96373,0.85534,0.75827,0.81942,0.54342,1.1907,0.71446,1.20908,0.001618,0.001618,0.001618
129,47961.1,0.79217,0.44389,0.96453,0.85586,0.75741,0.81884,0.5435,1.19049,0.71537,1.20927,0.001552,0.001552,0.001552
130,48330.9,0.7883,0.44425,0.96271,0.8563,0.7573,0.81909,0.54333,1.19078,0.71659,1.2096,0.001486,0.001486,0.001486
131,48700.7,0.78754,0.44104,0.96084,0.85654,0.75645,0.81887,0.54343,1.19073,0.71748,1.20996,0.00142,0.00142,0.00142
132,49071.2,0.7856,0.43587,0.95877,0.8559,0.75704,0.81878,0.54377,1.19114,0.71855,1.21027,0.001354,0.001354,0.001354
133,49441.6,0.77564,0.43308,0.95774,0.85669,0.75649,0.81872,0.54356,1.19144,0.71966,1.21047,0.001288,0.001288,0.001288
134,49812.4,0.76716,0.43078,0.95598,0.85638,0.75602,0.81842,0.54322,1.19154,0.72069,1.21106,0.001222,0.001222,0.001222
